Region,Market,Chart,Name,Unit,Source,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
Brazil,Energy & Sports Drinks,Revenue,Total,billion USD (US$),Statista,1.453,1.486,1.055,0.985,1.053,0.918,0.867,0.594,0.607,0.621,0.686,0.746,0.792,0.839
Vietnam,Energy & Sports Drinks,Revenue,Total,billion USD (US$),Statista,1.062,1.207,1.295,1.495,1.686,1.961,2.302,2.547,2.923,3.216,3.622,3.891,4.109,4.395
Colombia,Energy & Sports Drinks,Revenue,Total,billion USD (US$),Statista,0.334,0.292,0.213,0.201,0.203,0.201,0.187,0.15,0.16,0.16,0.174,0.185,0.196,0.206
Indonesia,Energy & Sports Drinks,Revenue,Total,billion USD (US$),Statista,4.663,4.728,4.803,5.341,5.774,5.73,5.878,4.95,5.211,4.924,5.246,5.519,5.824,6.148
Ethiopia,Energy & Sports Drinks,Revenue,Total,billion USD (US$),Statista,0.046,0.048,0.055,0.057,0.061,0.062,0.074,0.077,0.076,0.07,0.079,0.087,0.097,0.104
Brazil,Energy & Sports Drinks,Volume,Total,million liters,Statista,215.79,224.136,205.115,182.513,170.774,163.37,159.524,149.624,153.482,146.258,150.168,151.103,151.979,153.684
Vietnam,Energy & Sports Drinks,Volume,Total,million liters,Statista,455.53,501.019,546.1,624.24,706.527,805.733,922.788,992.813,"1,076.69","1,154.49","1,254.06","1,301.86","1,329.80","1,377.91"
Colombia,Energy & Sports Drinks,Volume,Total,million liters,Statista,105.996,96.287,89.317,83.872,79.08,76.951,76.118,70.671,72.173,70.498,74.28,76.235,78.125,79.322
Indonesia,Energy & Sports Drinks,Volume,Total,million liters,Statista,"1,378.42","1,485.57","1,589.59","1,680.59","1,744.77","1,767.17","1,740.67","1,558.96","1,529.71","1,427.87","1,461.65","1,489.63","1,525.53","1,565.30"
Ethiopia,Energy & Sports Drinks,Volume,Total,million liters,Statista,19.651,20.39,22.337,23.063,24.224,25.631,27.382,28.742,31.671,33.053,36.542,39.583,42.761,44.713
Honduras,Energy & Sports Drinks,Revenue,Total,billion USD (US$),Statista,0.063,0.059,0.053,0.049,0.045,0.044,0.043,0.04,0.043,0.042,0.046,0.048,0.05,0.053
United States,Energy & Sports Drinks,Revenue,Total,billion USD (US$),Statista,58.37,63.03,68.8,73.87,77.32,81.25,85.74,77.59,91.27,96.76,107.7,116.3,122.6,128.5
Germany,Energy & Sports Drinks,Revenue,Total,billion USD (US$),Statista,1.857,2.073,1.923,1.967,2.419,2.994,3.619,3.588,4.403,4.689,5.687,5.928,6.125,6.366
Japan,Energy & Sports Drinks,Revenue,Total,billion USD (US$),Statista,6.774,6.294,5.544,6.137,5.847,5.905,5.855,5.626,5.924,5.895,6.415,6.625,6.789,6.96
France,Energy & Sports Drinks,Revenue,Total,billion USD (US$),Statista,0.831,0.847,0.714,0.738,0.799,0.92,0.97,0.895,1.171,1.172,1.389,1.472,1.56,1.63
Honduras,Energy & Sports Drinks,Volume,Total,million liters,Statista,25.897,23.5,21.455,19.871,18.373,17.503,17.138,16.512,16.737,16.477,17.151,17.447,17.756,17.973
United States,Energy & Sports Drinks,Volume,Total,million liters,Statista,"7,426.92","7,757.13","8,210.60","8,611.57","8,762.73","8,944.21","9,125.32","8,941.63","9,729.92","9,507.21","9,931.20","10,017.55","10,205.24","10,355.45"
Germany,Energy & Sports Drinks,Volume,Total,million liters,Statista,259.758,285.076,310.792,312.336,363.697,415.622,517.806,579.386,659.811,620.337,680.084,693.457,700.326,709.228
Japan,Energy & Sports Drinks,Volume,Total,million liters,Statista,"1,620","1,580","1,545.71","1,512.86","1,472","1,440","1,400","1,351.57","1,380.68","1,320.25","1,352.45","1,339.96","1,331.98","1,324.39"
France,Energy & Sports Drinks,Volume,Total,million liters,Statista,107.477,109.22,109.616,111.127,114.97,122.465,132.924,131.881,148.526,141.318,160.377,166.739,172.698,176.597
Italy,Energy & Sports Drinks,Revenue,Total,million USD (US$),Statista,469.1,437.9,348.5,334.3,348.9,387.5,398.2,362.2,419.5,426.1,504.8,519.2,541.1,551.6
Russia,Energy & Sports Drinks,Revenue,Total,million USD (US$),Statista,154.9,135.2,88.81,78.13,90.67,88.97,95.22,91.65,108.4,78.61,98.1,102.9,107.8,110.7
Italy,Energy & Sports Drinks,Volume,Total,million liters,Statista,55.72,51.932,48.629,46.194,45.829,47.636,50.97,49.939,53.56,49.683,54.919,55.493,56.764,56.645
Russia,Energy & Sports Drinks,Volume,Total,million liters,Statista,52.221,50.223,43.411,39.202,38.49,39.937,41.622,43.947,47.306,33.743,41.17,42.176,43.343,43.618
